Round,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
1,0.9305683712949023,0.2530909717915961,0.9310019668628133,0.2523598868869741
2,0.949541061628867,0.18752115111755627,0.9502658907136555,0.1860951836879672
3,0.9529082285140758,0.18130503347968802,0.9539244174281852,0.1799283861051169
4,0.9542518576076927,0.17848435978599927,0.9554015880596048,0.17704734261799193
5,0.9552393440499894,0.17821835396873068,0.9564538191943147,0.17759549494025173
6,0.9554012270733169,0.17891914681695387,0.9569394643334116,0.17832945411946702
7,0.9561297006782898,0.17721213165508665,0.9573522627016439,0.1767612984540253
8,0.9566962912599356,0.17747365760445347,0.9574898621577214,0.1774783873708899
9,0.9568905508879284,0.1785522771981886,0.9579026605259536,0.17795408714349906
10,0.957214316934583,0.17743057974635412,0.9586756457056829,0.17685241139718452
